found,author,combinedName,kingdom,tsn,unitInd1,unitInd2,unitInd3,unitInd4,unitName1,unitName2,unitName3,unitName4,final_id,full_hierarchy
TRUE,"Bowman, 1955",chiridotea almyra,Animalia,92638,,,,,Chiridotea,almyra,,,chiridotea_almyra,TRUE
TRUE,"Harger, 1878",chiridotea,Animalia,92637,,,,,Chiridotea,,,,chiridotea,TRUE
TRUE,"Johannsen, 1905",chironomus decorus,Animalia,129280,,,,,Chironomus,decorus,,,chironomus_decorus,TRUE
TRUE,"Meigen, 1804",chironomus riparius,Animalia,129313,,,,,Chironomus,riparius,,,chironomus_riparius,TRUE
TRUE,,chironomus,Animalia,129254,,,,,Chironomus,,,,chironomus,TRUE
TRUE,"Eaton, 1881",choroterpes,Animalia,101108,,,,,Choroterpes,,,,choroterpes,TRUE
TRUE,"Needham, 1903",chromagrion,Animalia,102133,,,,,Chromagrion,,,,chromagrion,TRUE
TRUE,,chrysops,Animalia,131078,,,,,Chrysops,,,,chrysops,TRUE
TRUE,,cincinnatia cincinnatiensis,Animalia,70510,,,,,Cincinnatia,cincinnatiensis,,,cincinnatia_cincinnatiensis,TRUE
TRUE,"Pilsbry, 1891",cincinnatia,Animalia,70509,,,,,Cincinnatia,,,,cincinnatia,TRUE
TRUE,"McDunnough, 1933",cinygmula,Animalia,100557,,,,,Cinygmula,,,,cinygmula,TRUE
TRUE,"(Banks, 1914)",cinygmula subaequalis,Animalia,100570,,,,,Cinygmula,subaequalis,,,cinygmula_subaequalis,TRUE
TRUE,"Hannibal, 1912",cipangopaludina,Animalia,70328,,,,,Cipangopaludina,,,,cipangopaludina,TRUE
TRUE,"Wu, 1934",claassenia,Animalia,102930,,,,,Claassenia,,,,claassenia,TRUE
TRUE,"(Banks, 1900)",claassenia sabulosa,Animalia,102932,,,,,Claassenia,sabulosa,,,claassenia_sabulosa,TRUE
TRUE,"Kieffer, 1921",cladopelma,Animalia,129350,,,,,Cladopelma,,,,cladopelma,TRUE
TRUE,"Kieffer, 1921",cladotanytarsus,Animalia,129873,,,,,Cladotanytarsus,,,,cladotanytarsus_daviesi,FALSE
TRUE,(Goetg.),cladotanytarsus dispersopilosus,Animalia,129879,,,,,Cladotanytarsus,dispersopilosus,,,cladotanytarsus_dispersopilosus,TRUE
TRUE,(Walker),cladotanytarsus mancus,Animalia,129881,,,,,Cladotanytarsus,mancus,,,cladotanytarsus_mancus,TRUE
TRUE,"Kieffer, 1921",cladotanytarsus,Animalia,129873,,,,,Cladotanytarsus,,,,cladotanytarsus,TRUE
TRUE,"(Hagen, 1861)",climacia areolaris,Animalia,115087,,,,,Climacia,areolaris,,,climacia_areolaris,TRUE
TRUE,"McLachlan, 1869",climacia,Animalia,115086,,,,,Climacia,,,,climacia,TRUE
TRUE,"Meigen, 1803",clinocera,Animalia,135849,,,,,Clinocera,,,,clinocera,TRUE
TRUE,"Loew, 1861",clinotanypus pinguis,Animalia,127998,,,,,Clinotanypus,pinguis,,,clinotanypus_pinguis,TRUE
TRUE,,clinotanypus,Animalia,127996,,,,,Clinotanypus,,,,clinotanypus,TRUE
TRUE,"Leach, 1815",cloeon,Animalia,100756,,,,,Cloeon,,,,cloeon,TRUE
TRUE,,cnephia mutata,Animalia,126658,,,,,Cnephia,mutata,,,cnephia_mutata,TRUE
TRUE,"Enderlein, 1921",cnephia,Animalia,126649,,,,,Cnephia,,,,cnephia,TRUE
TRUE,"(Loew, 1866)",coelotanypus scapularis,Animalia,128016,,,,,Coelotanypus,scapularis,,,coelotanypus_scapularis,TRUE
TRUE,"Kieffer, 1913",coelotanypus,Animalia,128010,,,,,Coelotanypus,,,,coelotanypus,TRUE
TRUE,"Roback, 1971",conchapelopia aleta,Animalia,128128,,,,,Conchapelopia,aleta,,,conchapelopia_aleta,TRUE
TRUE,"Fittkau, 1957",conchapelopia americana,Animalia,128133,,,,,Conchapelopia,americana,,,conchapelopia_americana,TRUE
TRUE,"Roback, 1971",conchapelopia dusena,Animalia,128141,,,,,Conchapelopia,dusena,,,conchapelopia_dusena,TRUE
